icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
a29e91,1662221347.0,,1662222438,,N268VA  ,KRNP,,7MI6,,RV-12,,N268VA
406ea1,1662191109.0,,1662193155,,BHL539  ,EGSH,,,,AGUSTA AW139,A139,G-CIPW
71c034,1662186363.0,,1662187507,,JJA813  ,,,,,737NG 8HX/W,B738,HL8034
3c65d4,1662198401.0,1662198403.0,1662208465,1662208464.0,DLH39M  ,EDDM,EDDM,LPPT,LPPT,A320-271N,A20N,D-AINT
ac2c49,1662215316.0,,1662219407,,EDV4667 ,KATL,,LS34,,CL-600-2B19,CRJ2,N8837B
a51d23,1662224952.0,,1662230092,,AWI3738 ,KLNK,,KORD,,CL-600-2B19,CRJ2,N429AW
894076,1662210628.0,,1662212478,,GFA190  ,,,,,A321 231,A321,A9C-CC
4b1a66,1662179838.0,1662179839.0,1662183833,,EZS1349 ,LSGG,LSGG,,DTNH,A320-214,A320,HB-JZY
88819c,1662196714.0,,1662198417,,BAV1602 ,,,,,Airbus A320-232,A320,VN-A583
84659e,1662191503.0,,1662192126,,ANA1211 ,RJFF,,,,,,JA138A
010199,1662169847.0,,1662180179,1662180234.0,FEG1829 ,,HEMA,EDDM,EDDM,737NG 86J/W,B738,SU-TMG
478e27,1662196960.0,,1662208606,,WIF7736 ,,,,,E290,,LN-WEA
45ac32,1662220892.0,1662220893.0,1662230458,,SAS7325 ,ENGM,ENGM,LAGJ,LATI,A320 232,A320,OY-KAR
4ca9c1,1662228565.0,,1662240914,,RYR4VU  ,,,EGNX,,BOEING 737-8AS,B738,EI-EVA
a6231f,1662210574.0,,1662214156,,ERU495  ,KDAB,,KOMN,,172S,,N495ER
a172c4,1662217677.0,,1662220189,,N1926A  ,KAUO,,KCHA,,200,BE20,N1926A
7c582c,1662180435.0,,1662183653,,RPA     ,YPPF,,YPPF,,,,
4077bb,1662184003.0,,1662194327,,EXS91FR ,EGAA,,,,Boeing 737-86N,B738,G-DRTW
48415e,1662203179.0,1662203180.0,1662209176,1662209158.0,KLM1976 ,LHBP,LHBP,EHAM,EHAM,737NG 8K2/W,B738,PH-BXE
407ad9,1662199055.0,,1662201219,,SXN22   ,EGLD,,EGSM,,AgustaWestland AW119,A119,G-HZRD
ac79a3,1662228743.0,,1662239697,,AAL2859 ,KAUS,,KPHL,,A319-115,A319,N9025B
a4bc76,1662206630.0,,1662243715,,GTI7101 ,KLAX,,,,747-400F,B744,N404KZ
407af8,1662210767.0,,1662213895,,GHITB   ,EGBK,,EGNV,,Leonardo A109S Trekker,A109,G-HITB
885314,1662181629.0,,1662182565,,THD206  ,,,VTBS,,A320 232SL,A320,HS-TXT
a23731,1662211362.0,,1662212006,,N2418L  ,MI50,,4MI0,,172H,,N2418L
440665,1662230483.0,,1662235491,1662235487.0,AUA9VK  ,,LGPZ,LOWW,LOWW,A320 214,A320,OE-LBI
a4bb8a,1662222640.0,,1662223807,,AAL271  ,KLAX,,,,A321-253NX,,N404AN
a2b622,1662244171.0,,1662245849,,JBU2932 ,MDPC,,TJSJ,,ERJ 190-100 IGW,E190,N274JB
407911,1662170353.0,,1662171926,,LOG44N  ,EGPH,,EGPE,,72-212A,AT75,G-LMRZ
800af4,1662197820.0,,1662199899,,IGO6926 ,VECC,,,,A320 232SL,A320,VT-IAN
a6387f,1662176527.0,,1662180713,,N50KG   ,KYKM,,KBOI,,B200,BE20,N50KG
a9d00b,1662211418.0,,1662213516,,N731PD  ,,,KX39,,P210N,,N731PD
a857c2,1662218827.0,,1662221023,,PDT6033 ,KFAY,,KCLT,,EMB-145LR,E145,N637AE
3ddc74,1662191889.0,,1662192869,,CHX11   ,EDTS,,LSPF,,H145,EC45,D-HDSU
7c4d4b,1662164418.0,,1662167458,,PJX     ,YBSS,,YBSS,,Piper PA-28-181,P28A,VH-PJX
151ef4,1662230925.0,,1662248299,,SBI3033 ,UUDD,,,,,,
a2b991,1662170382.0,,1662174651,,FDX1209 ,KMCO,,,,767-300F,,N275FE
a99403,1662169400.0,,1662174637,,CTL2    ,KOPF,,KTPA,,500-B,,N716TC
4a0489,1662163698.0,,1662169752,1662169855.0,MLD757  ,,LUKK,LTAI,LTAI,,A321,YR-ADI
ad1f48,1662228406.0,,1662233677,,N94461  ,KDAB,,KDAB,,172S,,N94461
ace0d2,1662199770.0,,1662204281,,AAL2618 ,KGRR,,SC08,,737-823,B738,N929NN
a09e52,1662190852.0,,1662191688,,N139TJ  ,KPNE,,KPHL,,EC 135 P2+,EC35,N139TJ
4baa13,1662224724.0,,1662228688,,THY2KY  ,LCEN,,LTBA,,A320 232,A320,TC-JPS
76bd49,1662103762.0,,1662167295,,TGW849  ,RKSI,,YSSY,,,B789,9V-OJI
a99094,1662228555.0,,1662229743,,N715W   ,2OK0,,KF29,,RV-6,,N715W
a73b38,1662212287.0,,1662215338,,N565TT  ,KJWN,,,,560,,N565TT
a40312,1662211750.0,,1662218029,,FFT27   ,KCVG,,,,A320-251N,,N358FR
a82a44,1662233294.0,,1662235896,,QXE2342 ,,,KSEA,,EMB-175 200LR,E75L,N625QX
a96a7d,1662234060.0,,1662238375,,N7057Q  ,KCBF,,KCBF,,172L,,N7057Q
801421,1662222593.0,,1662229901,,IGO5926 ,,,VECC,,Airbus A321-252NX,A21N,VT-ILI
a6c28c,1662245460.0,,1662248803,,N53460  ,7TN3,,KJWN,,172S,,N53460
71c018,1662171661.0,,1662173296,,AAR8941 ,RKSS,,,,A321 231,A321,HL8018
ad5cbc,1662236804.0,,1662242841,,N960G   ,KCHO,,KDXR,,PA46-500TP,P46T,N960G
152047,1662208535.0,,1662213479,1662213497.0,SVR392  ,,UMKK,ULLI,ULLI,Airbus A321-231,A321,RA-73799
800cf3,1662149547.0,,1662173747,,SEJ8937 ,OMDB,,VIDP,,Boeing 737 MAX 8,B38M,VT-MXB
4ca2d5,1662227588.0,1662227589.0,1662233725,1662233683.0,RYR9YU  ,EGSS,EGSS,LIPQ,LIPQ,BOEING 737-8AS,B738,EI-DLI
a6275d,1662245379.0,,1662246258,,N496LA  ,KN87,,KPNE,,,,
a2e646,1662226069.0,,1662232287,,SWA4141 ,KORD,,KDAL,,737-7H4,B737,N286WN
