icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
44081e,1662022263.0,,1662026479,,AUA2ER  ,EDDV,,LOWW,,EMB-195 LR,E195,OE-LWB
a6b87a,1662068995.0,,1662071858,,GJS4183 ,KEWR,,KRIC,,CL-600-2C11,,N532GJ
400efc,1662059319.0,,1662065587,,EZY71CU ,LEBL,,EGKK,,AIRBUS A319-111,A319,G-EZBB
e49522,1662029561.0,,1662030756,,GLO1691 ,,,SDTB,,Boeing 737 MAX 8,B38M,PR-XMX
88811c,1662021300.0,,1662022619,,VJC790  ,,,VVGL,,A320 214SL,A320,VN-A672
ac6d66,1662050871.0,,1662052032,,LXJ90   ,KPBI,,KOPF,,BD-700-1A10,GLEX,N90FX
800be6,1661996247.0,,1662003208,,AIC401  ,VIDP,,VECC,,A320 251NSL,A20N,VT-CIE
a283ed,1661998024.0,,1662001978,,ENY3342 ,,,KDFW,,ERJ 170-200 LR,,N261NN
a0fe90,1662070836.0,,1662073280,,FFL641  ,KMRY,,KWHP,,,,N163TV
8001c5,1662022135.0,,1662024106,,VTAAT   ,VOMM,,VOBG,,Dassault Falcon 2000,F2TH,VT-AAT
600841,1662017911.0,,1662022434,,AHY9112 ,,,,,EMB-190 AR,E190,4K-AZ65
a6c4e6,1661990405.0,,1661991096,,VOI863  ,,,,,A321-271N,,N535VL
a830cd,1662042973.0,,1662044888,,N627FT  ,KMLB,,KX26,,PA-28-161,,N627FT
ad77d3,1662044854.0,,1662051205,,N967TC  ,KFTY,,KTEB,,525C,C25C,N967TC
a66db9,1662058342.0,,1662059090,,N513MT  ,FL99,,FD29,,407,,N513MT
7c80ac,1662066488.0,,1662070769,,RXA6762 ,YMAY,,YSSY,,SF34,SF34,VH-ZPA
8675d8,1662073599.0,,1662075932,,ANA1632 ,,,RJOO,,737NG 881/W,B738,JA70AN
a53ba4,1662027499.0,,1662034253,,RPA4555 ,KATL,,KLGA,,ERJ 170-200 LR,E75L,N436YX
800ba0,1662013219.0,,1662017422,,LLR809  ,VIDP,,,,ATR 72 600,AT76,VT-AIY
a6da75,1662052901.0,,1662054741,,N5401P  ,KSTS,,KMCC,,PA-24-180,,N5401P
a17a8c,1662069706.0,,1662072400,,N1948W  ,,,KSAT,,EA500,,N1948W
a8994e,1662072390.0,,1662075306,,EJA653  ,XS25,,KMSY,,680A,,N653QS
8963e3,1662012263.0,,1662033958,,UAE392  ,OMDB,,,,777 300ER,B77W,A6-EPT
800c77,1662025371.0,,1662040672,,GOW229  ,VOBL,,VIDP,,,,
a0f8d3,1662067924.0,,1662069831,,UCA4881 ,,,K9X1,,EMB-145XR,E45X,N16178
71bf72,1661996945.0,,1661998601,,AAR8704 ,RKJJ,,RKSS,,A320 232,A320,HL7772
4952c3,1662057660.0,1662057661.0,1662064621,1662064611.0,TAP135Y ,LPPT,LPPT,EGLL,EGLL,A320-251N,A20N,CS-TVC
aa6dbe,1662053437.0,,1662054311,,N76LB   ,KXFL,,7FL6,,,,
a36f68,1662047229.0,,1662053800,,N320ME  ,KAPA,,KAPA,,172S,,N320ME
a12318,1662037763.0,,1662049409,,N1721B  ,TN09,,21FA,,RV-8,,N1721B
801400,1662032344.0,,1662040094,,IGO5314 ,,,VOTP,,Airbus A321-271NX,A21N,VT-IUX
e49445,1662057738.0,,1662059003,,AZU4338 ,SBKP,,,,A320-251N,A20N,PR-YRT
abd57e,1662043302.0,,1662045184,,SWA2318 ,KLAS,,KONT,,737-8H4,B738,N8614M
a8a309,1662024399.0,,1662026000,,PDT6065 ,,,KUZA,,EMB-145LR,E145,N656AE
a8590a,1662056737.0,,1662058333,,NCJ37   ,KMKE,,KATW,,PC-12/45,PC12,N637PH
a83c4f,1662058401.0,,1662059476,,N63KL   ,5PA3,,KGAI,,SF50,,N63KL
a08021,1661995043.0,,1662007865,,AAL2837 ,KDFW,,KPDX,,A321-231,A321,N131NN
4d2144,1662013721.0,,1662017785,,9HPIK   ,LKPM,,EDDK,,Cessna Citation II,C550,9H-PIK
a69f09,1662050016.0,,1662050854,,N5258Z  ,KSPG,,KSPG,,172P,,N5258Z
394c14,1662026360.0,,1662030257,,AFR37RL ,LFPG,,LFML,,A321 212,A321,F-GTAU
a0b65e,1662047190.0,,1662047928,,N145MH  ,NC67,,NC67,,MBB-BK 117 C-2,,N145MH
407c1e,1662047040.0,,1662049815,,NHZ34   ,EGNH,,EGNH,,Leonardo AW169,A169,G-NHVT
ac205f,1662028711.0,,1662036613,,SWA266  ,KAUS,,KMCO,,737-8,,N8801Q
a50cb7,1662070774.0,,1662076768,,RPA4565 ,KSTL,,KDCA,,ERJ 170-200 LR,E75L,N424YX
a67b94,1662056230.0,,1662057788,,N517BL  ,KRWI,,KJNX,,DA 40 NG,,N517BL
4d404f,1662020486.0,,1662022528,,3AMFM   ,,,EDHE,,,,
a04f78,1662053580.0,,1662057487,,N119UV  ,KPVU,,KPVU,,DA 40,,N119UV
0d0a0f,1662068835.0,,1662070069,,SLI2546 ,,,,,EMB-190 LR,E190,XA-ALU
392e97,1662016331.0,1662016266.0,1662018658,1662018686.0,FGLUX   ,LFLY,LFLY,LFMN,LFMN,525C CitationJet CJ4,C25C,F-GLUX
4ca788,1662013979.0,,1662018448,,EIN63N  ,EIDW,,EBBR,,A320-214,A320,EI-DVJ
ad1218,1661991772.0,,1662000508,,AAL322  ,KMIA,,KEWR,,737-823,B738,N941NN
a69210,1662043182.0,,1662053089,,DCM6757 ,KTKI,,KMMU,,MYSTERE FALCON 900,,N522TL
a3c5ea,1662029231.0,,1662034089,,DAL2825 ,KORD,,KATL,,A319-114,A319,N342NB
a3e329,1661997521.0,,1662001780,,N35HF   ,CT48,,KEWR,,S-76C,,N35HF
7c6d27,1661995830.0,,1661999843,,VOZ834  ,YSSY,,YMML,,737NG 8FE/W,B738,VH-VUH
717cda,1662003081.0,,1662003869,,HZAL63  ,OERT,,OERT,,Leonardo AW139,A139,HZ-AL63
4248c2,1662058695.0,,1662062358,,VPCKN   ,LTFJ,,LGAV,,,,
c02ed9,1662020479.0,,1662049164,,ACA004  ,,,CYVR,,787-9 (Boeing),B789,C-FRTG
43c936,1662056097.0,,1662058916,,CRNGE1  ,EGVP,,EGVP,,,,
3c6598,1662049721.0,,1662053110,,DLH1VA  ,LHBP,,EDDM,,A319 114,A319,D-AILX
a0a782,1662067826.0,,1662069169,,N141MH  ,KLGB,,KRIV,,S-76B,S76,N141MH
34440b,1662009802.0,1662009816.0,1662020433,1662020449.0,VLG92WY ,LEBL,LEBL,ENGM,ENGM,A320 232SL,A320,EC-LVV
a682b3,1662059056.0,,1662060089,,N51883  ,PABV,,5AK9,,172P,,N51883
e0b0c4,1662048669.0,,1662049948,,FBZ5310 ,SABE,,,,737-8AL ,B738,LV-KCD 
0ca2fe,1662033959.0,,1662034606,,LIA343  ,,,,,ATR 42 600,AT46,V2-LIG
89642d,1662016052.0,,1662018880,,ABY136  ,OTHH,,OMSJ,,A320 214SL,A320,A6-AOJ
